User_ID,Job_ID,User_Skills,Job_Requirements,Match_Score,Recommended
1,16,"Python, C++, Machine Learning","SQL, CSS, AI, JavaScript, Data Science",0.6204206284876945,0
2,30,"AI, Python, Data Science","AI, Data Science, SQL, Python, CSS",0.8234510612396936,1
3,319,"CSS, Python, Machine Learning","SQL, AI, Python",0.7038296838133097,0
4,399,"SQL, Machine Learning, C++","Java, AI, Python, Data Science, Machine Learning",0.22472441131493304,0
5,405,"Machine Learning, HTML, JavaScript","Machine Learning, C++",0.2964532446080892,0
6,66,"Java, Data Science","HTML, CSS, Python, Machine Learning",0.6743089060772848,0
7,157,"AI, Python, HTML, JavaScript","Java, JavaScript, SQL",0.9142540775623277,1
8,53,"Java, Data Science","Python, HTML, CSS, SQL, JavaScript",0.13853581238384072,0
9,247,"SQL, Machine Learning, Java, HTML","Python, C++, AI",0.5449271162937245,0
10,68,"SQL, Machine Learning, AI, C++","C++, Machine Learning, Python",0.7096905419180726,0
11,440,"JavaScript, Machine Learning","HTML, AI, CSS, Python, Machine Learning",0.5555037130455993,0
12,95,"Java, C++, Python, Data Science","SQL, CSS",0.33730990898208923,0
13,157,"HTML, Data Science, Java, Machine Learning, C++","Python, Java",0.8123776874830022,1
14,132,"Machine Learning, C++","JavaScript, HTML",0.8889506723941278,1
15,413,"SQL, Python, CSS, AI","C++, Python, AI, Machine Learning",0.14615271652215933,0
16,62,"HTML, C++, CSS","Data Science, HTML, C++, SQL",0.8726489959520474,1
17,311,"SQL, AI","Data Science, Java, CSS, Machine Learning, JavaScript",0.035162144613767654,0
18,248,"AI, SQL","HTML, Machine Learning, JavaScript",0.8368165035869383,1
19,276,"Python, C++, AI, Machine Learning","CSS, HTML, JavaScript, SQL, Java",0.31505680865331687,0
20,430,"Java, JavaScript, C++, Python","JavaScript, Python, Data Science",0.5123741381805943,0
21,308,"Machine Learning, Data Science, SQL","JavaScript, Java, HTML",0.8375096355773367,1
22,271,"JavaScript, SQL, Machine Learning","HTML, SQL, Data Science",0.26997219446690923,0
23,224,"C++, Java, HTML","Python, Data Science, Machine Learning, HTML",0.5312960171754331,0
24,1,"SQL, Machine Learning, Java, C++, AI","Machine Learning, C++, Python",0.2936437920199366,0
25,7,"Machine Learning, Data Science, AI","C++, Python, SQL, Machine Learning, Java",0.5487950859977712,0
26,352,"CSS, JavaScript","Data Science, JavaScript, Machine Learning, AI, Java",0.6694033585696698,0
27,169,"JavaScript, Java, Python, C++, SQL","HTML, JavaScript",0.7289636502463117,0
28,459,"C++, HTML, Python","C++, AI, Data Science, Java",0.6464106563569022,0
29,376,"CSS, Python","Machine Learning, CSS, Java, HTML",0.6500095462494869,0
30,408,"JavaScript, Python, CSS, SQL","AI, Python",0.6207795516986715,0
31,461,"Java, CSS","HTML, JavaScript, AI",0.9546610082411405,1
32,475,"AI, JavaScript","CSS, Java",0.40808339154197115,0
